ecode
1333
1605
1662
1721
1801
1802
1803
1808
1812
1820
1821
1824
1833
1860
1878
1883
1893
1911
1925
1928
1944
1951
1963
1979
2002
2127
2181
2206
2212
2229
2264
2267
2269
2270
2282
2331
2371
2413
2432
2433
2501
2502
2503
2531
2579
2580
2587
2593
2607
2651
2670
2768
2784
2801
2802
2809
2810
2811
2871
2875
2897
2914
3003
3064
3086
3088
3092
3099
3101
3105
3116
3231
3289
3291
3349
3382
3391
3401
3402
3405
3407
3436
3591
3608
3626
3659
3668
3861
3863
3865
3941
4004
4005
4021
4042
4044
4045
4061
4062
4063
4088
4091
4114
4118
4151
4182
4183
4185
4186
4188
4202
4203
4204
4205
4206
4208
4217
4272
4307
4324
4401
4403
4452
4502
4503
4506
4507
4508
4516
4519
4521
4523
4527
4528
4530
4534
4536
4540
4541
4543
4544
4547
4555
4568
4569
4578
4581
4612
4613
4631
4661
4665
4666
4676
4681
4684
4689
4704
4716
4732
4739
4751
4755
4768
4901
4902
4911
4912
4922
4927
4967
5002
5012
5019
5020
5021
5101
5105
5108
5110
5201
5202
5214
5232
5233
5332
5333
5334
5401
5406
5411
5413
5444
5463
5471
5486
5631
5703
5706
5711
5713
5714
5801
5802
5803
5901
5929
5938
5947
5949
5991
6005
6098
6103
6113
6136
6141
6146
6178
6201
6268
6273
6301
6302
6305
6326
6361
6366
6367
6370
6383
6395
6417
6448
6457
6460
6465
6471
6472
6473
6474
6479
6481
6501
6502
6503
6504
6506
6586
6592
6594
6645
6674
6701
6702
6703
6724
6740
6752
6754
6758
6762
6770
6806
6841
6845
6849
6856
6857
6861
6869
6902
6923
6925
6952
6954
6963
6965
6971
6976
6981
6988
6995
7003
7004
7011
7012
7013
7164
7167
7180
7181
7182
7186
7201
7202
7203
7205
7211
7222
7240
7259
7261
7267
7269
7270
7272
7276
7282
7309
7313
7453
7459
7532
7550
7649
7701
7731
7733
7735
7741
7751
7752
7762
7832
7846
7911
7912
7936
7951
7956
7966
7974
7984
7988
8001
8002
8012
8015
8016
8028
8031
8035
8036
8053
8058
8060
8078
8086
8088
8113
8129
8130
8136
8140
8184
8218
8219
8227
8233
8242
8252
8253
8267
8273
8282
8303
8304
8306
8308
8309
8316
8324
8331
8334
8336
8341
8354
8355
8356
8358
8359
8361
8366
8368
8369
8370
8377
8379
8381
8382
8385
8410
8411
8418
8439
8473
8515
8524
8544
8570
8572
8586
8591
8593
8595
8601
8604
8609
8616
8628
8630
8697
8714
8725
8729
8750
8766
8795
8801
8802
8804
8830
8848
8905
8933
9001
9003
9005
9006
9007
9008
9009
9020
9021
9022
9024
9031
9041
9042
9044
9045
9048
9062
9064
9065
9072
9075
9076
9101
9104
9107
9201
9202
9301
9303
9364
9401
9404
9409
9432
9433
9435
9437
9501
9502
9503
9504
9505
9506
9507
9508
9509
9513
9531
9532
9533
9601
9602
9613
9684
9697
9706
9719
9735
9744
9747
9766
9783
9831
9832
9843
9861
9956
9962
9983
9984
9987
9989
